IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:d565:aef7:43d6:b2c6:3672,4,1,0.75,218.55,0.02
2606:4700:0:d589:a169:be69:ed55:db9,4,3,0.25,230.04,0.00
2606:4700:0:c4:10b3:183a:d42a:2ae9,4,3,0.25,246.75,0.00
2606:4700:0:d54b:5dcb:4d8:6ccd:782,4,2,0.50,211.06,0.00
2606:4700:0:a6:6492:d386:5b7f:475c,4,2,0.50,213.73,0.00
2606:4700::4eea,4,2,0.50,219.60,0.00
2606:4700:0:d590:9150:3f6:c5b:1ef6,4,2,0.50,222.50,0.00
2606:4700:0:d590:93f:7658:1de9:e7ed,4,2,0.50,223.72,0.00
2606:4700:0:c4:e94b:eaec:48b1:b18,4,2,0.50,224.47,0.00
2606:4700:0:d590:913b:22d9:dad6:d3ce,4,2,0.50,226.19,0.00
2606:4700::83:ab50:4b12:5403,4,2,0.50,227.02,0.00
2606:4700:0:d54b:5dcb:6320:702d:2303,4,2,0.50,227.13,0.00
2606:4700:0:c4:e94b:ea1c:a7a1:38a6,4,2,0.50,227.61,0.00
2606:4700:0:c4:105e:48b7:4ec8:1b4e,4,2,0.50,227.92,0.00
2606:4700:0:d590:912c:dce:5615:a2fb,4,2,0.50,232.46,0.00
2606:4700:0:d589:a169:be69:a6cf:fb30,4,2,0.50,234.12,0.00
2606:4700:0:d590:913b:22d9:6e1:4a06,4,2,0.50,234.50,0.00
2606:4700:0:d590:9150:33c:3b51:5a48,4,2,0.50,236.96,0.00
2606:4700:0:ef:c28c:cd08:5155:106d,4,2,0.50,242.90,0.00
2606:4700:0:d590:9ab:c014:a9d2:1620,4,2,0.50,243.63,0.00
2606:4700::83:aed7:9607:2a8c,4,2,0.50,244.40,0.00
2606:4700:0:ef:c2e6:c973:8339:df01,4,2,0.50,245.19,0.00
2606:4700:0:c4:105e:48b7:4e5a:50f2,4,2,0.50,245.30,0.00
2606:4700::4d0e:526:91f4:9ee2,4,2,0.50,245.85,0.00
2606:4700:0:a6:50b:54c1:91d0:3e2c,4,2,0.50,246.89,0.00
2606:4700:0:c4:1091:2d30:f607:3a94,4,2,0.50,248.07,0.00
2606:4700:0:d590:913b:22ed:1e70:e875,4,2,0.50,249.04,0.00
2606:4700:0:d54b:5d27:89c9:97cb:b1e7,4,2,0.50,250.24,0.00
2606:4700:0:a6:d253:fa4f:aa36:ee70,4,2,0.50,250.38,0.00
2606:4700::4d0e:526:91ce:a43f,4,2,0.50,251.88,0.00
2606:4700:0:c4:105e:48e1:db51:a302,4,2,0.50,252.12,0.00
2606:4700:0:a6:5c5:7f02:beac:26c9,4,2,0.50,257.94,0.00
2606:4700:0:d590:9150:3f6:c25:e99e,4,2,0.50,260.34,0.00
2606:4700:0:d590:912c:dede:9a29:6099,4,1,0.75,181.90,0.00
2606:4700:0:c4:e94b:284e:5670:7519,4,1,0.75,184.57,0.00
2606:4700:0:d590:912c:df53:d582:e948,4,1,0.75,200.29,0.00
2606:4700:0:d565:4b0c:da7f:552b:c8a1,4,1,0.75,203.98,0.00
2606:4700::83:aed7:25b2:697e,4,1,0.75,204.05,0.00
2606:4700:0:c4:1091:e13a:9145:c8d0,4,1,0.75,204.70,0.00
2606:4700:0:d590:912c:de5d:ed81:bf89,4,1,0.75,205.66,0.00
2606:4700:0:c4:e980:b4c7:1123:8e6e,4,1,0.75,207.09,0.00
2606:4700:0:d589:a169:ba1a:79bc:926c,4,1,0.75,207.18,0.00
2606:4700:0:d590:9150:3f6:2761:6713,4,1,0.75,208.62,0.00
2606:4700:0:c4:1091:e1e2:8a5:2a93,4,1,0.75,208.84,0.00
2606:4700::83:ab9a:e6c9:d9a7,4,1,0.75,209.51,0.00
2606:4700:0:a6:d253:fa4f:aaec:80c2,4,1,0.75,210.04,0.00
2606:4700:0:c4:105e:4805:6fde:eeb5,4,1,0.75,210.15,0.00
2606:4700:0:d590:9ab:2c35:c773:542c,4,1,0.75,210.54,0.00
2606:4700:0:c4:1006:851a:93c2:c2cf,4,1,0.75,211.70,0.00
2606:4700::7d18:d12e,4,1,0.75,211.89,0.00
2606:4700:0:d590:913b:2129:46c1:cdd6,4,1,0.75,211.95,0.00
