IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),国家代码
8.222.219.140,4,2,0.50,227.20,0.01,SG
8.212.65.162,4,4,0.00,57.54,0.00,HK
47.57.245.232,4,4,0.00,58.72,0.00,HK
8.217.168.149,4,4,0.00,59.63,0.00,HK
8.212.12.98,4,4,0.00,59.98,0.00,HK
140.238.58.181,4,4,0.00,88.20,0.00,JP
155.248.170.249,4,4,0.00,89.28,0.00,JP
155.248.182.161,4,4,0.00,91.09,0.00,JP
155.248.178.95,4,4,0.00,91.23,0.00,JP
155.248.169.118,4,4,0.00,91.76,0.00,JP
8.219.245.214,4,4,0.00,92.51,0.00,SG
8.219.243.132,4,4,0.00,94.39,0.00,SG
152.70.253.44,4,4,0.00,95.38,0.00,KR
8.219.228.81,4,4,0.00,96.91,0.00,SG
146.56.96.206,4,4,0.00,99.29,0.00,KR
132.145.94.80,4,4,0.00,99.58,0.00,KR
146.56.110.3,4,4,0.00,100.66,0.00,KR
155.248.184.204,4,4,0.00,101.60,0.00,JP
132.226.234.102,4,4,0.00,124.80,0.00,KR
132.226.16.97,4,4,0.00,126.09,0.00,KR
155.248.248.205,4,4,0.00,144.36,0.00,IN
152.67.190.105,4,4,0.00,146.92,0.00,IN
144.24.140.37,4,4,0.00,148.98,0.00,IN
141.148.203.6,4,4,0.00,150.70,0.00,IN
132.226.224.232,4,4,0.00,156.39,0.00,KR
141.144.198.93,4,4,0.00,188.43,0.00,NL
141.144.197.136,4,4,0.00,198.99,0.00,NL
141.144.196.32,4,4,0.00,199.94,0.00,NL
193.123.35.178,4,4,0.00,207.98,0.00,NL
193.123.254.142,4,4,0.00,212.72,0.00,KR
150.230.63.93,4,4,0.00,215.13,0.00,JP
47.251.95.178,4,4,0.00,216.63,0.00,US
141.148.245.210,4,4,0.00,220.99,0.00,NL
47.254.86.133,4,4,0.00,223.52,0.00,US
129.153.203.62,4,4,0.00,224.63,0.00,US
8.222.255.80,4,4,0.00,227.72,0.00,SG
130.61.124.127,4,4,0.00,229.32,0.00,DE
129.151.198.3,4,4,0.00,231.53,0.00,SE
152.70.59.138,4,4,0.00,231.86,0.00,NL
152.69.209.132,4,4,0.00,232.05,0.00,SG
129.150.53.218,4,4,0.00,232.12,0.00,SG
168.138.165.174,4,4,0.00,232.36,0.00,SG
150.230.118.203,4,4,0.00,235.81,0.00,GB
193.122.58.158,4,4,0.00,250.69,0.00,DE
141.148.234.165,4,4,0.00,254.89,0.00,NL
143.47.181.217,4,4,0.00,257.31,0.00,NL
141.148.226.145,4,4,0.00,257.47,0.00,NL
47.74.155.26,4,4,0.00,261.67,0.00,SG
47.253.171.149,4,4,0.00,264.73,0.00,US
150.136.87.192,4,4,0.00,269.25,0.00,US
141.147.47.32,4,4,0.00,270.50,0.00,DE
144.21.43.236,4,4,0.00,273.06,0.00,NL
144.24.174.149,4,4,0.00,273.34,0.00,DE
152.67.142.42,4,4,0.00,274.51,0.00,GB
143.47.189.30,4,4,0.00,276.13,0.00,NL
130.162.189.64,4,4,0.00,276.40,0.00,GB
144.21.42.171,4,4,0.00,277.06,0.00,NL
150.230.123.106,4,4,0.00,277.84,0.00,GB
144.21.58.28,4,4,0.00,279.62,0.00,GB
150.230.121.114,4,4,0.00,280.27,0.00,GB
141.147.71.121,4,4,0.00,280.48,0.00,GB
130.162.165.64,4,4,0.00,280.97,0.00,GB
144.21.42.2,4,4,0.00,281.09,0.00,NL
150.230.22.224,4,4,0.00,299.81,0.00,NL
144.21.48.154,4,4,0.00,300.75,0.00,GB
152.67.140.249,4,4,0.00,301.76,0.00,GB
132.145.245.100,4,4,0.00,309.50,0.00,DE
192.9.180.162,4,4,0.00,363.16,0.00,AU
144.22.252.124,4,4,0.00,386.75,0.00,BR
8.218.70.238,4,3,0.25,59.50,0.00,HK
47.242.218.87,4,3,0.25,59.83,0.00,HK
150.230.218.53,4,3,0.25,88.17,0.00,JP
141.147.179.103,4,3,0.25,89.37,0.00,JP
193.123.166.233,4,3,0.25,90.44,0.00,JP
150.230.204.132,4,3,0.25,90.76,0.00,JP
8.219.254.1,4,3,0.25,92.40,0.00,SG
150.230.198.167,4,3,0.25,93.42,0.00,JP
8.219.236.218,4,3,0.25,93.70,0.00,SG
8.219.255.49,4,3,0.25,94.63,0.00,SG
152.70.240.162,4,3,0.25,94.71,0.00,KR
8.219.153.71,4,3,0.25,94.76,0.00,SG
8.219.153.31,4,3,0.25,95.57,0.00,SG
152.70.234.185,4,3,0.25,98.40,0.00,KR
8.220.134.136,4,3,0.25,103.01,0.00,PH
8.219.97.248,4,3,0.25,105.78,0.00,SG
8.219.63.79,4,3,0.25,115.58,0.00,SG
129.154.202.229,4,3,0.25,137.49,0.00,KR
8.222.213.251,4,3,0.25,228.45,0.00,SG
8.222.223.112,4,3,0.25,229.75,0.00,SG
8.222.165.104,4,3,0.25,231.22,0.00,SG
8.222.169.19,4,3,0.25,231.74,0.00,SG
138.2.81.71,4,3,0.25,233.81,0.00,SG
130.162.209.188,4,3,0.25,245.34,0.00,DE
130.162.174.117,4,3,0.25,248.38,0.00,GB
143.47.183.52,4,3,0.25,252.00,0.00,NL
129.158.198.241,4,3,0.25,262.87,0.00,US
141.147.71.187,4,3,0.25,268.28,0.00,GB
143.47.247.120,4,3,0.25,270.05,0.00,GB
143.47.185.27,4,3,0.25,278.11,0.00,NL
143.47.191.188,4,3,0.25,279.34,0.00,NL
141.148.235.197,4,3,0.25,279.58,0.00,NL
150.230.146.170,4,3,0.25,293.97,0.00,DE
141.147.64.114,4,3,0.25,296.47,0.00,GB
141.148.230.89,4,3,0.25,304.76,0.00,NL
143.47.235.216,4,3,0.25,305.56,0.00,GB
144.24.88.177,4,2,0.50,101.07,0.00,KR
140.238.31.168,4,2,0.50,210.05,0.00,KR
8.212.14.90,4,4,0.00,58.43,0.00,HK
8.222.139.227,4,2,0.50,228.94,0.00,SG
130.162.163.93,4,2,0.50,257.73,0.00,GB
